,case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_y,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat,geometry
0,3119713,48-186736,2019-WTW-9999-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,2/17/2022,Digital Globe,-97.565788,28.285681,POINT (-97.56578287864203 28.28568312909596)
1,3118880,48-186804,2019-WTW-10122-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.514153,28.240862,POINT (-97.51414780446935 28.240864202989897)
2,3120174,48-186775,2019-WTW-10009-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,2/17/2022,Digital Globe,-97.543541,28.293280,POINT (-97.54353588787113 28.293282148237694)
3,3119010,48-186800,2019-WTW-10079-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.544586,28.265989,POINT (-97.54458085289538 28.265991167578402)
4,3120170,48-186801,2019-WTW-10083-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,2/17/2022,Digital Globe,-97.512680,28.283510,POINT (-97.51267487435433 28.28351218995629)
5,3119115,48-186784,2019-WTW-10035-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,2/17/2022,Digital Globe,-97.496910,28.290812,POINT (-97.49690488229638 28.29081420212962)
6,3119729,48-186771,2019-WTW-10007-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,2/17/2022,Digital Globe,-97.547752,28.283710,POINT (-97.54774687570246 28.28371215072754)
7,3116813,48-186792,2019-WTW-10136-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.537582,28.223745,POINT (-97.5375767656763 28.223747165298253)
8,3119138,48-186794,2019-WTW-10066-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,2/17/2022,Digital Globe,-97.562706,28.308331,POINT (-97.56270090624885 28.30833311502277)
9,3119432,48-186795,2019-WTW-10135-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.543251,28.221983,POINT (-97.54324576262957 28.221985159013457)
10,3119672,48-186796,2019-WTW-10071-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.566490,28.266920,POINT (-97.5664848559636 28.266922142904004)
11,3117403,48-186799,2019-WTW-10126-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.506790,28.235981,POINT (-97.50678479043378 28.23598320510132)
12,3120023,48-186780,2019-WTW-10039-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.489311,28.268219,POINT (-97.4893058445776 28.268221225031027)
13,3117961,48-186787,2019-WTW-10144-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.492599,28.233101,POINT (-97.49259377653563 28.2331032146481)
14,3119415,48-186783,2019-WTW-10037-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.494110,28.266312,POINT (-97.49410484522703 28.26631422172772)
